fuente_institucional,anio,titulo,id,url
ANID,2024,Red Firewall Alianzas Para La Restauracion Y Adaptacion De Ecosistemas Naturales Frente A Incendios Forestales Y Cambio Global.,ANID_Infor_61149ae1d1f53b6cf05c80425bf65d6a,https://espaciociencia.anid.cl/detalles?id=ANID_Infor_61149ae1d1f53b6cf05c80425bf65d6a
ANID,2024,Relación vegetación polen clima en ecosistemas de cordillera en la región semiárida de Chile durante los últimos 4000 años,ANID_3fdf6184f216f40a5e75b7ebd7b94ee2,https://espaciociencia.anid.cl/detalles?id=ANID_3fdf6184f216f40a5e75b7ebd7b94ee2
UDEC,2024,Resiliencia de ecosistemas fluviales: análisis mediante rasgos empíricos de ensambles de peces.,UDEC_0b1fa3b37e64c3fdffc08ff8b244d8f9,https://espaciociencia.anid.cl/detalles?id=UDEC_0b1fa3b37e64c3fdffc08ff8b244d8f9
UDEC,2024,Riqueza de órdenes de insectos caminadores en diferentes ecosistemas en Campus Naturaleza de la Universidad de Concepción.,UDEC_65a57fd1ca10ea49b340c6d53268b37e,https://espaciociencia.anid.cl/detalles?id=UDEC_65a57fd1ca10ea49b340c6d53268b37e
UDEC,2024,Rol de los senderos de montaña en la redistribución de plantas no nativas en ecosistemas andinos de áreas protegidas del centro sur de Chile.,UDEC_4d343759aa0f4973b778e1695d0a380b,https://espaciociencia.anid.cl/detalles?id=UDEC_4d343759aa0f4973b778e1695d0a380b
SCIELO,2024,"Servicios ecosistémicos del bosque seco de la parroquia Cazaderos, cantón Zapotillo, provincia de Loja, Ecuador",SCIELO_6b78a5a946bd50386f5aac57bf779d03,https://espaciociencia.anid.cl/detalles?id=SCIELO_6b78a5a946bd50386f5aac57bf779d03
UCHILE,2024,Sistematización de información de especies sucedáneas de flora y fauna en ecosistemas terrestres de Chile,UCHILE_e8ba0cafdc0335eff2f5dd221c245bcb,https://espaciociencia.anid.cl/detalles?id=UCHILE_e8ba0cafdc0335eff2f5dd221c245bcb
UDEC,2023,"Análisis de las características, oportunidades y desafíos de las iniciativas de restauración de ecosistemas forestales en el centro y sur de Chile.",UDEC_f72f3aba9feea55af86345cb492a96da,https://espaciociencia.anid.cl/detalles?id=UDEC_f72f3aba9feea55af86345cb492a96da
UDEC,2023,Cuantificación del servicio ecosistémico de almacenamiento de carbono en ecosistemas boscosos dentro y fuera del Parque Nacional Nonguén.,UDEC_4eed2109ce1467b035f4e718555295a9,https://espaciociencia.anid.cl/detalles?id=UDEC_4eed2109ce1467b035f4e718555295a9
UDEC,2023,Ecosistema de Emprendimiento e Innovación en la Región del Biobío: Análisis inicial de las variables que inciden en su formación.,UDEC_8f755ee5e4a40673652812a27e3531c6,https://espaciociencia.anid.cl/detalles?id=UDEC_8f755ee5e4a40673652812a27e3531c6
SCIELO,2023,Educación técnico-profesional: En rumbo a transformarse en actor clave para el ecosistema de innovación chileno.,SCIELO_3a934fd52244e92427482d9e1224f648,https://espaciociencia.anid.cl/detalles?id=SCIELO_3a934fd52244e92427482d9e1224f648
ANID,2023,"El periodismo científico en el ecosistema digital: nuevo perfil profesional, narrativas y estrategias de comunicación desde la realidad chilena",ANID_373c797ee3a4bee8a58bb1dfc8b25428,https://espaciociencia.anid.cl/detalles?id=ANID_373c797ee3a4bee8a58bb1dfc8b25428
REPO,2023,How much carbon is stored in the terrestrial ecosystems of the Chilean Patagonia?,Repo_ANID_0cc4422636930f34a431478d2ae2888d,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_0cc4422636930f34a431478d2ae2888d
UDEC,2023,Influencia de los Microplásticos (MPs) y Productos Farmacéuticos y de Cuidado Personal (PPCPs) Derivados de la Actividad Humana Costera y sus Efectos en el Ecosistema Antártico.,UDEC_f9e32bcf23464578fd6bc2b9c6fe604e,https://espaciociencia.anid.cl/detalles?id=UDEC_f9e32bcf23464578fd6bc2b9c6fe604e
SCIELO,2023,Información científica clave para la gestión y conservación del ecosistema biocultural del Pewén en Chile y Argentina,SCIELO_f41a89359dbcb05b94558800e0a0ec56,https://espaciociencia.anid.cl/detalles?id=SCIELO_f41a89359dbcb05b94558800e0a0ec56
REPO,2023,Isolated lignans of Araucaria araucana (Molina) K. Koch provide wood protection against attack by the xylophagous fungus Pleurotus ostreatus (jacq.) P. Kumm,Repo_ANID_ae1c8109e4f230bc9a6ef93a73af480c,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_ae1c8109e4f230bc9a6ef93a73af480c
SCIELO,2023,Manejo de Bosques con Ganadería Integrada en Patagonia argentina: ajuste metodológico para la determinación de la línea de base en ecosistemas complejos y paisajes heterogéneos,SCIELO_b2f9724f9ec8961505872c5bebbf668b,https://espaciociencia.anid.cl/detalles?id=SCIELO_b2f9724f9ec8961505872c5bebbf668b
UCHILE,2023,Mejora de la gobernabilidad de U-Papers y de su capacidad de integración del ecosistema de software del DCC,UCHILE_b0933e6a159a3d2184404a33591e0de8,https://espaciociencia.anid.cl/detalles?id=UCHILE_b0933e6a159a3d2184404a33591e0de8
REPO,2023,Native Carnivore Diversity and Relative Abundance in Landscapes of the Coast Range in Central Chile: Insights for Conservation Decision-Making.,Repo_ANID_173bfb2b35d1f53eb93aaabb3d4d951d,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_173bfb2b35d1f53eb93aaabb3d4d951d
UCHILE,2023,Prácticas editoriales independientes en el Chile contemporáneo: Herramientas para un Ecosistema del Libro bibliodiverso.,UCHILE_d12cea1e7aaa9ccb48d8b889a7967bc6,https://espaciociencia.anid.cl/detalles?id=UCHILE_d12cea1e7aaa9ccb48d8b889a7967bc6
UDEC,2023,"Valor de conservación y percepción de la biodiversidad presente en ecosistemas urbanos: el caso de sitios eriazos en la comuna de Hualpén (Biobío, Chile).",UDEC_27848758d4c19d3c35106643c6f47b0e,https://espaciociencia.anid.cl/detalles?id=UDEC_27848758d4c19d3c35106643c6f47b0e
SCIELO,2022,&#8220;Pit-tag&#8221; como marca permanente en Myotis chiloensis (Chiroptera: Vespertilionidae) y Tadarida brasiliensis (Chiroptera: Molossidae) en Chile central,SCIELO_cfef2f84853d85991081a14d370a40e6,https://espaciociencia.anid.cl/detalles?id=SCIELO_cfef2f84853d85991081a14d370a40e6
SCIELO,2022,"Análisis de Correspondencia Múltiple de Sustentabilidad en Unidades Productoras de Tarwi (Lupinus mutabilis Sweet) en el valle del Mantaro, Perú",SCIELO_937071d1d4c52f101b17524e8c376be4,https://espaciociencia.anid.cl/detalles?id=SCIELO_937071d1d4c52f101b17524e8c376be4
UDEC,2022,Catálogos como herramienta de divulgación científica para contribuir al conocimiento de diversas algas marinas de Rio de Janeiro en estudiantes de escuelas litoráneas de la ciudad.,UDEC_e5add56c1a0ce43f11f79a1666f11a76,https://espaciociencia.anid.cl/detalles?id=UDEC_e5add56c1a0ce43f11f79a1666f11a76
UCHILE,2022,Diseño de un plan de negocios para digitalizar el sell in de los distribuidores de materiales de construcción dentro del ecosistema Konstruyendo.com,UCHILE_51ef0188c81aceeb152ef368396b4842,https://espaciociencia.anid.cl/detalles?id=UCHILE_51ef0188c81aceeb152ef368396b4842
SCIELO,2022,Efectos de la introducción de fauna alóctona (danis familiaris) en ecosistemas áridos: estudio de caso en cactáceas endémicas,SCIELO_27b1fc92a5fb97921982603079a56eb7,https://espaciociencia.anid.cl/detalles?id=SCIELO_27b1fc92a5fb97921982603079a56eb7
UCHILE,2022,El ecosistema comunicativo de los jóvenes en Chile durante la pandemia de COVID-19: El caso de la Televisión y las RRSS,UCHILE_ad5c653bd5523067c577bcc11125d104,https://espaciociencia.anid.cl/detalles?id=UCHILE_ad5c653bd5523067c577bcc11125d104
UDEC,2022,Elaboración de un mapa regional del ecosistema de emprendimiento e innovación en base al uso de ARS para la región del Biobío.,UDEC_64201e32a4eddc4c7bf3a8ae3259eaf8,https://espaciociencia.anid.cl/detalles?id=UDEC_64201e32a4eddc4c7bf3a8ae3259eaf8
ANID,2022,Ensamblajes ontológicos en los ecosistemas digitales del capitalismo informacional. Aproximaciones al cripto-cuerpo desde la narrativa argentina reciente,ANID_a3dca77714b757527e81a3c59e7cf14f,https://espaciociencia.anid.cl/detalles?id=ANID_a3dca77714b757527e81a3c59e7cf14f
